Spirited Away	['Atmospheric', 'Offbeat', 'Stylized', 'Exciting', 'young_heroes', 'rescue', 'curses_spells_and_rituals', 'Escapades', 'Imaginary', 'Supernatural', 'Youth', 'ghost', 'ADVENTURE', 'ANIMATION', 'FAMILY', 'FANTASY', 'foreign', 'Anime', 'contemporary', '21st_century', 'Asia', 'Japan', 'Theme_Park', 'Family_outing', 'award_winner', 'blockbuster', 'critically_acclaimed', 'Essential', 'masterpiece', 'oscar_winner', 'Berlin_festival_winner', 'Prestigious_Awards', 'surreal', 'Serious', 'Fantastic']
3 Idiots	['Humorous', 'Feel_Good', 'Touching', 'buddies', 'rebelliousness', 'Friends', 'Power_relations', 'fall_in_love', 'teachers_and_students', 'Student_Life', 'Love_and_romance', 'COMEDY', 'foreign', 'Bollywood', 'DRAMA', 'ROMANCE', 'contemporary', '21st_century', 'Asia', 'India', 'Comedy_of_errors', 'based_on_book', 'Semi_Serious', 'Realistic', 'Indian']
Simon Sez	['Humorous', 'Suspenseful', 'secret_agents', 'espionage', 'race_against_time', 'save_the_day', 'kidnapping', 'working_undercover', 'Tough_Heroes', 'Crimes', 'ACTION', 'independent', 'ADVENTURE', '90s', 'Europe', 'French_Riviera', 'martial_arts', 'Semi_Serious', 'Realistic']
Rope	['Clever', 'Suspenseful', 'Cynical', 'Tense', 'psychological', 'murder', 'Crimes', 'Deadly', 'Mind_and_soul', 'Friends', 'murderous_pair', 'mind_game', 'THRILLER', 'DRAMA', 'MYSTERY', '20th_century', '40s', 'New_York', 'USA', 'Indoors', 'Classic', 'critically_acclaimed', 'Essential', 'masterpiece', 'Talky', 'based_on_play', 'based_on_true_story', 'Serious', 'Realistic', 'Violent_Content']
Raiders of the Lost Ark	['Exciting', 'Humorous', 'adventurer', 'master_villain', 'good_versus_evil', 'treasure_hunt', 'heroic_mission', 'Escapades', 'Heroes', 'Rivalry', 'ADVENTURE', 'Hollywood_Tone', 'ACTION', '20th_century', '30s', 'Teens', 'Family_outing', 'award_winner', 'blockbuster', 'critically_acclaimed', 'Modern_classic', 'oscar_winner', 'Prestigious_Awards', 'Semi_Serious', 'Fantastic', 'Fast', 'Special_effects', 'Mild_Violent_Content']
Into the Wild	['Captivating', 'Atmospheric', 'Sincere', 'survival', 'destiny', 'Escapades', 'Lifestyle', 'Mind_and_soul', 'Youth', 'adventurer', 'obsessive_quest', 'DRAMA', 'ADVENTURE', '20th_century', '90s', 'Alaska', 'USA', 'Wilderness', 'cross_country', 'award_winner', 'critically_acclaimed', 'Golden_globe_winner', 'On_the_Road', 'based_on_book', 'biography', 'based_on_true_story', 'Serious', 'Realistic', 'Slow', 'Nudity', 'Profanity']
Gandhi	['Contemplative', 'Emotional', 'Sincere', 'Captivating', 'Uplifting', 'head_of_state', 'assassination', 'fighting_the_system', 'leadership', 'politics', 'human_spirit', 'idealism', 'heroic_mission', 'DRAMA', 'HISTORICAL', 'PERIOD', '1910s', '20s', '20th_century', '30s', '40s', 'Asia', 'England', 'Europe', 'India', 'New_Delhi', 'award_winner', 'critically_acclaimed', 'oscar_winner', 'Modern_classic', 'Prestigious_Awards', 'biography', 'based_on_true_story', 'Serious', 'Realistic', 'Slow']
How to Train Your Dragon	['Exciting', 'Atmospheric', 'Feel_Good', 'Humorous', 'Sentimental', 'coming_of_age', 'imaginary_kingdom', 'Escapades', 'Imaginary', 'Youth', 'friendship', 'parents_and_children', 'adolescence_vs_adulthood', 'ANIMATION', 'FAMILY', 'FANTASY', 'Hollywood_Tone', 'ADVENTURE', 'COMEDY', 'Family_outing', 'Kids', 'blockbuster', 'critically_acclaimed', 'based_on_book', 'Semi_Serious', 'Fantastic', 'Computer_animated', '3D']
Mitchell	['Rough', 'Suspenseful', 'Exciting', 'Chases_and_races', 'Crimes', 'Dishonesty', 'Law_enforcement', 'femme_fatale', 'gangsters', 'prostitute', 'chase', 'ACTION', 'CRIME', 'independent', 'THRILLER', '70s', 'Urban', 'Silly_Humor', 'Campy', 'Serious', 'Realistic']
District 9	['Bleak', 'Offbeat', 'Rough', 'Stylized', 'Exciting', 'Thought_Provoking', 'Tense', 'Biting', 'human_nature', 'alien_encounter', 'chaos_and_mayhem', 'dystopia', 'isolation', 'Chases_and_races', 'Confined', 'Life_is_a_bitch', 'ACTION', 'Fake_documentary', 'contemporary', '21st_century', 'Africa', 'South_Africa', 'Urban', 'Urban_Ghetto', 'award_winner', 'blockbuster', 'critically_acclaimed', 'Original', 'gory', 'Twists_and_turns', 'Based_on_Short_Film', 'Serious', 'Fantastic', 'Fast', 'Special_effects', 'Profanity', 'Strong_Violent_Content']
The Lives of Others	['Contemplative', 'Gloomy', 'Suspenseful', 'Bleak', 'Sexual', 'Captivating', 'Tense', 'secret_agents', 'politics', 'conspiracies', 'political_conspiracy', 'Dishonesty', 'Mind_and_soul', 'State_affairs', 'Undercover', 'DRAMA', 'foreign', 'PERIOD', 'THRILLER', '20th_century', '80s', '90s', 'Europe', 'Germany', 'award_winner', 'critically_acclaimed', 'oscar_winner', 'Serious', 'Realistic', 'Nudity', 'Profanity', 'Sexual_Content']
Das Boot	['Atmospheric', 'Bleak', 'Suspenseful', 'Tense', 'Gloomy', 'Rough', 'Captivating', 'soldier', 'anti_war', 'military_life', 'Battles', 'Danger', 'Military', 'survival', 'political_unrest', 'DRAMA', 'WAR', 'foreign', 'ACTION', 'ADVENTURE', 'HISTORICAL', 'PERIOD', 'Realism', '20th_century', '40s', 'World_War_2', 'Submarine', 'underwater', 'Ocean_or_Sea', 'award_winner', 'critically_acclaimed', 'Essential', 'masterpiece', 'Epic', 'based_on_book', 'based_on_true_story', 'Serious', 'Realistic', 'Profanity', 'Violent_Content']
Monty Python and the Holy Grail	['Humorous', 'Witty', 'Exciting', 'Clever', 'Offbeat', 'obsessive_quest', 'Disorder', 'treasure_hunt', 'legends_and_myths', 'riddles_and_clues', 'Religions_or_Cults', 'Danger', 'Escapades', 'COMEDY', 'PARODY', 'PERIOD', 'ADVENTURE', 'Middle_ages', 'England', 'Europe', 'Classic', 'critically_acclaimed', 'cult', 'slapstick', 'Irreverent_humor', 'Silly_Humor', 'Dry_Humor', 'Ensemble_cast', 'surreal', 'Not_Serious', 'Semi_fantastic']
The Pianist	['Bleak', 'Contemplative', 'Emotional', 'Gloomy', 'Captivating', 'anti_heroes', 'survival', 'innocence_lost', 'holocaust', 'Against_humanity', 'Confined', 'Danger', 'Escapades', 'DRAMA', 'MUSIC', 'PERIOD', 'WAR', 'independent', '20th_century', '30s', '40s', 'World_War_2', 'Europe', 'Battle_Zone', 'Ghetto', 'award_winner', 'critically_acclaimed', 'oscar_winner', 'Modern_classic', 'Cannes_festival_winner', 'Prestigious_Awards', 'Epic', 'biography', 'based_on_true_story', 'Serious', 'Realistic', 'Slow', 'classical', 'Profanity', 'Violent_Content']
Hobgoblins	['Humorous', 'Suspenseful', 'Scary', 'deadly_creature', 'track_down', 'Danger', 'Deadly', 'Imaginary', 'Supernatural', 'buddies', 'Evil_Alien', 'COMEDY', 'HORROR', 'independent', 'FANTASY', 'THRILLER', '20th_century', '80s', 'Teens', 'Campy', 'Not_Serious', 'Fantastic', 'Puppets']
Zombie Nightmare	['Bleak', 'Rough', 'Scary', 'supernatural_ability', 'vengeance', 'reincarnation', 'Crimes', 'Deadly', 'Youth', 'gang', 'murder', 'HORROR', 'independent', 'THRILLER', '80s', 'Semi_Serious', 'Semi_fantastic']
The Departed	['Bleak', 'Clever', 'Rough', 'Suspenseful', 'Captivating', 'Tense', 'criminal_heroes', 'gangsters', 'Police_Detective', 'mind_game', 'rise_and_fall', 'working_undercover', 'Ambition', 'Crimes', 'CRIME', 'THRILLER', 'Neo_noir', 'Hollywood_Tone', 'contemporary', '21st_century', 'Boston', 'USA', 'Urban', 'award_winner', 'blockbuster', 'critically_acclaimed', 'oscar_winner', 'Prestigious_Awards', 'All_star_cast', 'remake', 'Serious', 'Realistic', 'Rock', 'Profanity', 'Sexual_Content', 'Strong_Violent_Content']
Oldboy	['Atmospheric', 'Bleak', 'Disturbing', 'Gloomy', 'Rough', 'Stylized', 'Suspenseful', 'Tense', 'mind_game', 'vengeance', 'Confined', 'Life_is_a_bitch', 'Mind_and_soul', 'Rivalry', 'mysterious_character', 'THRILLER', 'foreign', 'Neo_noir', 'DRAMA', 'MYSTERY', 'contemporary', '21st_century', 'Asia', 'Korea', 'Urban', 'award_winner', 'controversial', 'critically_acclaimed', 'Cannes_festival_winner', 'Prestigious_Awards', 'Dark_Humor', 'Twists_and_turns', 'Voice_over', 'gory', 'based_on_comics', 'Serious', 'Realistic', 'Strong_Sexual_Content', 'Profanity', 'Strong_Violent_Content']
Tees Maar Khan	['Humorous', 'Exciting', 'criminal_heroes', 'cons_and_scams', 'heist', 'gang', 'chase', 'Chases_and_races', 'Crimes', 'Dishonesty', 'ACTION', 'COMEDY', 'foreign', 'Bollywood', 'contemporary', '21st_century', 'Asia', 'India', 'Semi_Serious', 'Realistic', 'Fast', 'Indian']
La strada	['Disturbing', 'Gloomy', 'Sentimental', 'Captivating', 'Bittersweet', 'human_nature', 'self_discovery', 'boss_and_employee', 'down_on_your_luck', 'showbiz', 'Artists_and_showbiz', 'Lifestyle', 'DRAMA', 'foreign', 'Neo_realism', 'Melodrama', 'ROMANCE', '20th_century', '50s', 'Europe', 'Italy', 'Circus', 'award_winner', 'Classic', 'critically_acclaimed', 'Essential', 'masterpiece', 'oscar_winner', 'Prestigious_Awards', 'Venice_festival_winner', 'On_the_Road', 'surreal', 'Serious', 'Realistic', 'Slow']
Finding Nemo	['Feel_Good', 'Humorous', 'Sentimental', 'Touching', 'Witty', 'odd_couple', 'rescue', 'friendship', 'heroic_mission', 'missing_child', 'Danger', 'Partners', 'Friends', 'ADVENTURE', 'ANIMATION', 'COMEDY', 'FAMILY', 'Hollywood_Tone', 'contemporary', '21st_century', 'Ocean_or_Sea', 'Family_outing', 'Kids', 'award_winner', 'blockbuster', 'critically_acclaimed', 'oscar_winner', 'Modern_classic', 'Prestigious_Awards', 'On_the_Road', 'All_star_cast', 'Not_Serious', 'Fantastic', 'Computer_animated']
Infernal Affairs	['Rough', 'Suspenseful', 'Captivating', 'Tense', 'Stylized', 'gangsters', 'Police_Detective', 'betrayal', 'mind_game', 'Police_Investigation', 'working_undercover', 'Crimes', 'Dishonesty', 'CRIME', 'THRILLER', 'foreign', 'DRAMA', 'contemporary', '21st_century', 'Asia', 'Hong_Kong', 'critically_acclaimed', 'Twists_and_turns', 'Serious', 'Realistic', 'Violent_Content']
On the Waterfront	['Captivating', 'Clever', 'gangsters', 'fighting_the_system', 'Crimes', 'Dishonesty', 'Rebellion', 'Society', 'Workplace', 'betrayal', 'CRIME', 'DRAMA', '20th_century', '50s', 'New_Jersey', 'New_York', 'USA', 'seaport', 'award_winner', 'blockbuster', 'Classic', 'critically_acclaimed', 'oscar_winner', 'Prestigious_Awards', 'Talky', 'based_on_article', 'Serious', 'Realistic', 'Slow']
To Kill a Mockingbird	['Captivating', 'Atmospheric', 'Clever', 'Contemplative', 'Disturbing', 'Emotional', 'Touching', 'Thought_Provoking', 'single_parent', 'legal_action', 'human_spirit', 'interracial_relations', 'racism', 'Injustice', 'Life_is_a_bitch', 'Mind_and_soul', 'DRAMA', 'Melodrama', 'PERIOD', '20th_century', '30s', 'Alabama', 'USA', 'Small_town', 'award_winner', 'Classic', 'critically_acclaimed', 'masterpiece', 'oscar_winner', 'Prestigious_Awards', 'Voice_over', 'based_on_book', 'Serious', 'Realistic', 'Slow']
The Wild Bunch	['Atmospheric', 'Bleak', 'Rough', 'Stylized', 'Suspenseful', 'Cynical', 'Clever', 'anti_heroes', 'criminal_heroes', 'gang', 'chase', 'on_the_run', 'violence_spree', 'chaos_and_mayhem', 'Tough_Heroes', 'WESTERN', 'ACTION', 'DRAMA', '1910s', '19th_century', '20th_century', 'Old_west', 'Mexico', 'Latin_America', 'Texas', 'award_winner', 'Classic', 'controversial', 'critically_acclaimed', 'Essential', 'masterpiece', 'Ensemble_cast', 'Epic', 'Serious', 'Realistic', 'Strong_Violent_Content']
Glitter	['Sentimental', 'Exciting', 'music_band', 'desire_for_fame', 'follow_your_dream', 'rise_and_fall', 'rising_to_stardom', 'addiction', 'MUSIC', 'DRAMA', 'MUSICAL', 'PERIOD', 'ROMANCE', 'New_York', 'USA', 'Campy', 'biography', 'Serious', 'Realistic']
The Terminator	['Bleak', 'Rough', 'Exciting', 'Suspenseful', 'androids_and_robots', 'man_versus_machine', 'manhunt', 'on_the_run', 'future_dystopia', 'technology_gone_awry', 'Chases_and_races', 'Danger', 'ACTION', 'Hollywood_Tone', '20th_century', '80s', 'Los_Angeles', 'USA', 'blockbuster', 'critically_acclaimed', 'masterpiece', 'Modern_classic', 'Voice_over', 'Serious', 'Fantastic', 'Special_effects', 'Brief_Nudity', 'Profanity', 'Violent_Content']
Popstar	['Humorous', 'prodigy', 'young_love']
The Treasure of the Sierra Madre	['Tense', 'Bleak', 'Clever', 'Disturbing', 'Suspenseful', 'Biting', 'buddies', 'betrayal', 'human_nature', 'friendship', 'cons_and_scams', 'Crimes', 'Dishonesty', 'Escapades', 'ACTION', 'ADVENTURE', 'DRAMA', 'WESTERN', 'Hollywood_Tone', '19th_century', '20s', '20th_century', 'Old_west', 'California', 'Mexico', 'Latin_America', 'USA', 'Wilderness', 'award_winner', 'Classic', 'critically_acclaimed', 'masterpiece', 'oscar_winner', 'Prestigious_Awards', 'based_on_book', 'Serious', 'Realistic', 'Profanity', 'Violent_Content']
